位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
成都·双流区·益州国际广场,赛坦科技,计算机软件,本科,3-5年,10-15K,.NET|多线程|分布式技术|容器技术|音视频编解码|WPF|SQL Server|Oracle,NET开发工程师 C# .NET CORE
北京·昌平区·昌平镇,创想联发,计算机软件,本科,1-3年,10-14K,Winform|软件工程师|客户端开发|.NET,C# Net工程师（急聘）
青岛·黄岛区·胶南,集运侠,互联网,学历不限,经验不限,3-6K,JavaScript|SQL Server|高级软件工程师|初级软件工程师|.NET|ASP.NET|Windows|Visual Studio,.NET c#
北京·昌平区·回龙观,中科航宇,仪器仪表,本科,经验不限,12-24K·13薪,MySQL|ADO.NET|ASP.NET|Winform|数据结构|WPF,C# .NET工程师
威海·环翠区,giga集团,电子商务,本科,1-3年,7-10K,后端开发|.NET|C#,C# net 开发人员
厦门·湖里区·湖里大道,思泰克智能,自动化设备,本科,经验不限,8-12K·13薪,C#|C#开发经验|图形开发,C# Dot Net图形工程师
上海·静安区·天目西路,图启建筑科技,计算机软件,本科,1-3年,12-15K,C#|.NET|WinForm,C# .NET 工程师
南昌·青山湖区·昌东,小智匠,互联网,大专,1年以内,4-9K,SQL|.NET|多线程|MVC开发|ASP.NET|SQL Server|ERP|CRM,c# asp.net工程师
金华·金东区·万达广场,金华金辰,计算机软件,学历不限,1-3年,9-14K,.NET|ASP.NET|SQL Server|软件工程师|Windows|后端开发|SQL,C# .net开发工程师
南京·玄武区·红山,为谷软件科技,计算机软件,本科,5-10年,14-16K·13薪,C#|ASP.NET|SQL Server,C# .NET高级工程师
宁波·鄞州区·首南,年轻的战场,互联网,本科,1年以内,4-7K,C#|Javascript|ASP.NET|.NET开发经验|.NET|计算机相关专业|数据库,C# .Net 开发
广州·海珠区·客村,广州致卓,计算机软件,大专,5-10年,5-7K·14薪,JavaScript|软件工程师|后端开发|.NET|SQL Server,c# .net软件开发工程师
深圳·南山区·深圳湾,深圳市领宽科技,互联网,本科,3-5年,12-20K·13薪,C#|MySQL|Oracle|.NET开发经验|C#开发经验|中大型项目开发经验,C# .Net 工程师
深圳·福田区·车公庙,天码智能,计算机软件,本科,3-5年,18-28K,C#|MySQL|C#开发经验|中大型项目开发经验|系统架构设计经验|Abp.vnext|.Net core|K8S,C# .Net Core高级开发工程师
南通·崇川区·中南·世纪城(崇文路),云茂电子,电子/半导体/集成电路,大专,3-5年,5-10K,C#|Oracle|C#开发经验|.NET开发经验|中大型项目开发经验,c# .Net工程师
沧州,河北互通-金蝶软件,计算机软件,本科,3-5年,6-10K,C#|Python|SQL Server,c#    .net开发工程师
成都·金牛区·欢乐谷,赛维思软件,计算机软件,大专,1-3年,8-13K,C#|.NET,C# .Net开发工程师
天津·河西区·佟楼,博彦科技,移动互联网,本科,5-10年,11-17K,C#|SQL Server|ADO.NET|.NET开发经验|英语口语流利,C# Developer
青岛·崂山区·崂山风景区,海信商显,计算机服务,本科,3-5年,11-20K·13薪,多线程|WPF|软件工程师|Windows|Visual Studio,C# WPF
成都·双流区·蛟龙港,太初有智,计算机软件,本科,3-5年,12-20K,C#|C#开发经验|.NET|软件工程师|中大型项目开发经验|客户端开发,C# .net 上位机软件开发工程师
北京·朝阳区·太阳宫,万物智允,计算机服务,本科,3-5年,15-30K·13薪,.NET|C#|数据库|WPF|Windows|软件工程师,C# 开发人员
石家庄·桥西区·友谊公园,博景科技,计算机软件,大专,3-5年,5-10K,C#,C# 程序员
沈阳·浑南区·桃仙,飞利浦,电子商务,本科,5-10年,20-40K·14薪,C#,C# Software Engineer
上海·松江区·松江大学城,上海毖砺,大数据,本科,经验不限,19-35K,C#|DirectX|Sqlserver|MySQL数据库；|计算机相关专业|SQL Server|Visual Studio|CUDA、GPU|C#开发经验|OpenCV|MySQL|系统架构设计经验|WPF / XAML,C# C++ Gpu
上海·松江区·松江工业区,嘉强自动化,其他行业,本科,经验不限,6-11K,C++|.NET|Winform,C# .NET软件开发工程师
北京,随闻科技,智能硬件,本科,3-5年,13-20K,C#|C++|C#开发经验|微软上架,C# 开发（兼职）
潍坊·奎文区·高新区,歌尔股份,仪器仪表/工业自动化,本科,3-5年,8-13K·13薪,C#|C#开发经验|.NET开发经验,C# 工控软件开发
廊坊·三河市·新世界百货燕郊,忻琪圆成,大数据,学历不限,经验不限,8-10K,C#,C# 开发人员、维护人员
武汉·江夏区·大花岭,稚子网络,移动互联网,大专,1-3年,6-11K,C#,C# 软件工程师
杭州·富阳区·富阳场口客运站,华卯智能,智能硬件,本科,3-5年,13-25K,ASP.NET|MySQL|SQL Server|C#开发经验|中大型项目开发经验,C# 开发工程师
深圳·福田区·沙尾村,Siring思锐,互联网,大专,1年以内,6-11K,C#,C# 开发工程师
苏州,针尖,计算机软件,大专,3-5年,10-15K·13薪,上位机C#|PLC|电机控制,C# 开发工程师
广州·花都区·花山,阿浦卡,计算机软件,本科,经验不限,3-8K,WPF|c#,c# 软件工程师
苏州·苏州工业园区·湖东,爱明路路通,计算机软件,大专,1年以内,1-3K,C#,C# 大学生兼职
上海·静安区·静安寺,法默(上海)信息...,互联网金融,大专,1-3年,10-15K,后端开发|C#|.NET,c# 高级软件工程师
杭州·余杭区·未来科技城,杭州斑头雁智能科技,计算机软件,大专,经验不限,20-40K·13薪,C++|Winform|Windows|WPF,C# 开发
上海·浦东新区·张江,肤焕科技,智能硬件,大专,1-3年,13-19K·13薪,SQL Server|.NET开发经验|C#开发经验,C# WPF 软件工程师
苏州·相城区·元和,飞莱栖,计算机软件,大专,1-3年,8-12K,多线程|Winform|MySQL|软件工程师|Windows|Visual Studio|硬件|信息化,C# Winform 桌面应用开发
北京·朝阳区·望京,兆维智能装备有限公司,半导体/芯片,本科,5-10年,30-35K,C#|C++|Java|C#开发经验|计算机相关专业,C# 软件工程师
苏州·虎丘区·浒墅关,鲲通科技,仪器仪表/工业自动化,大专,3-5年,18-25K,C#|SQL Server|ASP.NET|C#开发经验,C# 软件工程师
北京·大兴区·亦庄,京仪装备,电子/半导体/集成电路,本科,3-5年,15-25K·13薪,C++|Python|.NET|Winform|Visual Studio|SQL Server|MySQL|Oracle,C# .Net C/S Winform 软件工程师
北京·朝阳区·望京,众驾远航(北京)...,企业服务,大专,3-5年,20-35K,SQL|.NET|Winform|WPF|Framework,c# 软件开发工程师
上海·嘉定区·安亭,泽景汽车股份有限公司,汽车零部件,大专,1-3年,10-15K·13薪,C#|SQL Server,软件开发工程师 c#
上海·闵行区·龙柏,赛美特,计算机软件,本科,3-5年,15-30K,C#|Java|Oracle|智能制造软件,C# WinForm 开发（base地不限）
东莞·南城街道·南城,力和行,仪器仪表/工业自动化,本科,3-5年,12-24K·13薪,C#|运动控制|板卡,C# 运控
