位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
上海·闵行区·颛桥,朋骞信息,计算机/通信/其他电子设备,大专,1-3年,7-12K,C++|Qt项目开发经验|C语言|计算机相关专业|Linux开发/部署经验,C++  QT
西安·莲湖区·土门,小鱼易连,互联网,本科,5-10年,13-20K,C/C++|C#|视频编解码,windows C++
上海·浦东新区·张江,亦仁科技,互联网,学历不限,3-5年,11-22K,C++|C|QT|日语|对日|对日软件,对日C C++
上海·闵行区·吴泾,上海深视科技,自动化设备,本科,1-3年,16-26K·13薪,C++|QT|VC++|OpenCV|桌面开发经验|多线程|软件工程师|网络编程|图形图像处理|客户端开发,软件工程师 C++
上海·长宁区·古北,Telenav,计算机软件,本科,3-5年,10-15K,C/C++|Python|路径规划算法,senior c++ engineer
金华·武义县·武义,武义芙睿,培训/辅导机构,学历不限,经验不限,7-12K,C++讲师|C++培训助理|C++培训策划,python c++
上海·闵行区·颛桥,世智智能,计算机软件,学历不限,经验不限,5-10K,C++|C#,C++ C#
辽阳·白塔区·白塔公园,瑞祺教育,培训/辅导机构,大专,1-3年,3-5K,Python|C++|c语言,C++ 编程教练
石家庄·鹿泉区,科林,通信/网络设备,大专,1-3年,5-10K,C/C++|Linux|C#,C++  QT 工程师
北京·海淀区·西北旺,中科睿格,通信/网络设备,本科,3-5年,15-25K,C++|C|Linux开发/部署经验,linux c c++
北京·朝阳区·国贸,蚂蚁集团,互联网,本科,经验不限,30-60K·16薪,C++|SQL,C++ 研发工程师
厦门·湖里区·万达广场,天下顺,电子商务,大专,3-5年,11-22K·13薪,c++|cef|windows|抓包,window c++ 工程师
杭州·上城区·彭埠,友机技术,智能硬件,本科,5-10年,20-30K,Windows 系统|Linux 系统|NC 和 PLC 系统,C++ 高级工程师
深圳·龙华区·龙华,泓宇星科技,计算机软件,本科,5-10年,25-50K·13薪,C++ 架构,C++ 高级架构师
杭州·西湖区·黄龙,蚂蚁集团,互联网,本科,经验不限,2-5K·16薪,区块链,C++ 技术专家
北京·朝阳区·望京,超图骏科信息,计算机服务,学历不限,3-5年,18-35K,C++|地图/导航经验,QGis C++ 地图
北京·石景山区·鲁谷,金美通信北京研发中心,计算机软件,本科,1-3年,8-13K,C/C++|windows|MFC,C++ 开发（Windows 经验级）
北京·海淀区·上地,地模(北京)科技公司,计算机软件,硕士,5-10年,25-35K,C++|Python,C++ 图形可视化高级工程师
深圳·南山区·科技园,力量猫,移动互联网,本科,3-5年,3500-9000元/月,C++|C|QT,window客户端 C++
深圳,云基智慧,交通/运输,硕士,经验不限,30-60K,应用数学|C++|图形,三维图形平台开发 C++
上海·徐汇区·漕河泾,腾讯,互联网,本科,3-5年,25-50K·14薪,C++|多线程|音视频编解码|流媒体技术|Windows|PC端|移动端|软件工程师,腾讯云 C++ 终端研发工程师
北京·海淀区·上地,华如科技,计算机软件,本科,经验不限,15-25K·13薪,C++|QT|软件工程师,C++ 研发工程师
北京·海淀区·西北旺,海兰信,通信/网络设备,硕士,1-3年,17-25K,音视频编解码|QT|Linux|QML,C++ QT
青岛·黄岛区·胶南,小海码少儿编程,培训/辅导机构,本科,1-3年,6-11K,销售经验|C#|少儿兴趣班|NOIP课程教学经验|C语言|组织NOIP竞赛|计算机相关专业|线下授课|NOIP带队经验|培训师|全职工作|线下教学|教研|日常教学,C++ 信奥赛编程教师
上海·徐汇区·漕河泾,腾讯,互联网,本科,5-10年,30-60K,C++|数据结构|多线程|计算机软件|IM通讯,腾讯云 C++ 终端研发工程师
北京·海淀区·学院路,北京加速进化科技,互联网,硕士,1-3年,25-40K·15薪,C++|不限|不限|ROS|OTA|中间件,C++ 研发工程师
杭州·滨江区·长河,杭州赤豹,信息安全,本科,1-3年,11-22K·16薪,多进程|Linux,Linux C++ 研发工程师
成都·武侯区·高朋大道,京邮通联科技,通信/网络设备,本科,经验不限,10-15K·13薪,C++|C++服务端开发经验,C++ 产品软件工程师（成都）
东莞·长安镇·长安镇区,艾屹智能视觉运动控制,计算机软件,本科,3-5年,13-26K·14薪,C++服务端开发经验|C++|Qt项目开发经验|QT|数据库开发经验|运动控制|运动板卡|自动化|计算机相关专业|图形开发经验|量化交易开发经验,C++ 运动控制工程师
青岛·崂山区·崂山风景区,海信医疗,其他行业,本科,3-5年,15-20K·13薪,多线程|架构师|QT|网络协议|MySQL,应用软件工程师 C++
南京·江宁区·秣陵,南京声息芯影科技,医疗器械,本科,1-3年,11-22K·13薪,C++|MySQL|嵌入式软件经验|数据库开发经验,C++ 软件工程师
厦门·思明区·软件园,合见,半导体/芯片,本科,经验不限,25-50K·16薪,C++服务端开发经验|Qt项目开发经验|C++|Cmake|QT|Linux|算法基础|文件管理系统|高级软件工程师|英语读写能力良好|数据结构|中级软件工程师,C++ 软件工程师
深圳·福田区·华强北,贝麦克斯科技,医疗器械,本科,经验不限,12-24K,机器人|C++|QT|机械臂|dicom|医学影像|Linux|C语言,C++ 医学影像工程师
广州·天河区·天河公园,北京海量数据,大数据,3个月,3天/周,150-200元/天,C++|数据库,C++ 内核开发实习生
杭州·临平区·塘栖,杭州温在杭科技,电子商务,本科,1年以内,15-20K·14薪,C++|Python|Golang,c++ 工程师
上海·徐汇区·漕河泾,思科,通信/网络设备,本科,经验不限,18-35K,C/C++|Linux|VOIP,Sr C++ SIP engineer
北京·海淀区·西北旺,金禾教育,培训/辅导机构,本科,5-10年,65-90K·15薪,架构师|地图数据引擎|车载引擎|开发导航|自动驾驶|DB/QGIS/地图|OpenDrive/,C++ 开发工程师-引擎
杭州·拱墅区·万达广场,惠飞科技,仪器仪表/工业自动化,本科,1-3年,7-14K,C/C++|QT,C++ QT开发工程师
北京·朝阳区·常营,小树发芽,计算机软件,大专,5-10年,15-30K,C++|C语言|计算机相关专业|Windows|DuiLib|soui,Windows C++ 开发工程师
成都·武侯区·新会展中心,盛泰信息,计算机软件,大专,3-5年,12-18K·18薪,C++|C++服务端开发经验|棋牌|网狐,C++ 游戏服务器
北京·朝阳区·鸟巢,京东世纪贸易有限公司,互联网,本科,3-5年,25-50K·14薪,数据结构|多线程|网络编程|分布式技术|后端开发|架构师|C++,C++ 大数据 算法
深圳·龙岗区·坂田,芯行,半导体/芯片,3个月,6天/周,200-300元/天,C++服务端开发经验|C++|Git|C语言|Linux|Makefile|音视频开发|Windows|Linux开发/部署经验|网络协议|音视频相关开发经验,C语言 C++ 软件工程师 实习生
杭州,诺基亚浙江分公司,通信/网络设备,本科,3-5年,14-20K·13薪,嵌入式技术|多线程|Unix|后端开发|架构师|高级软件工程师|STL|Cmake,5G L3 C++ 高级软件工程师
石家庄·裕华区·开发区,思安电子,通信/网络设备,大专,1-3年,8-13K,C++|C++服务端开发经验|Qt项目开发经验|音视频相关开发经验|Linux|C++ .QT,软件工程师 C++
厦门·湖里区·禾山,yealink,通信/网络设备,本科,3-5年,15-18K·14薪,音视频经验|C++|嵌入式软件经验|桌面开发经验|计算机相关专业|Linux开发/部署经验|音视频相关开发经验,嵌入式 C++  SDK 开发工程师
杭州·滨江区·长河,慧域,计算机服务,本科,1-3年,10-15K,C++|Linux|Windows|Web端|嵌入式技术|SQLite,C++ 软件工程师（PC客户端）
北京·朝阳区·小营,好未来,互联网,本科,3-5年,20-40K,C/C++|Qt|CEF,C++ 客户端工程师
上海·闵行区·航华,上海诚技信研,计算机软件,本科,1-3年,15-30K·13薪,C++|QT|上位机开发经验|linux,C++ Qt 软件工程师
上海·浦东新区·金桥,仙工,计算机软件,本科,10年以上,25-50K·13薪,C++|SDK|系统调优,C++ 软件工程师(系统架构)
北京·海淀区·西北旺,华为,计算机软件,本科,经验不限,15-30K·15薪,C++|C语言|计算机相关专业|C++服务端开发经验,C++ /C 开发工程师--急招（转语言也可）
北京·海淀区·西三旗,旷视MEGVII,计算机服务,本科,1-3年,20-40K·14薪,C++|架构设计经验|Linux开发/部署经验|嵌入式软件经验|算法,C++ 算法开发工程师 (MJ001487)
厦门·湖里区·湖里大道,厦门云视听,计算机软件,本科,1-3年,8-10K,C++|Linux开发/部署经验,嵌入式 C++ SDK 开发工程师
深圳·龙华区·龙华,海思智创,汽车零部件,本科,3-5年,50-60K,汽车诊断|Java|C++|通讯协议|汽车电子|Python,C++ 汽车诊断软件工程师 (自招 深圳龙华)
南京·雨花台区·软件大道,颐东,互联网,本科,1-3年,13-18K,Windows|MFC|软件工程师,C++
北京·海淀区·西山,北京学佳澳,在线教育,本科,3-5年,20-30K,多线程|游戏开发,C++
北京·海淀区·上地,国基科技,通信/网络设备,本科,3-5年,20-35K,Linux|Windows|VxWorks|VC++|ARM开发|单片机开发,C++
北京·丰台区·科技园区,航天朝亿,智能硬件,本科,5-10年,10-15K,C++|C#|Windows|Visual Studio|驱动开发|计算机软件,C++
天津·南开区·风荷园,天津市南开区光星...,计算机软件,本科,1-3年,7-12K,C++,C++
北京·海淀区·西二旗,庚顿,计算机软件,本科,3-5年,13-26K,C++|多线程|分布式技术|Linux|大数据,C++
苏州·太仓市·太仓,江腾智能,智能硬件,大专,1-3年,10-15K,网络协议|视觉图像算法|C++|Java|Windows|Android,C++
深圳·龙岗区·坂田,快桨科技,计算机软件,学历不限,经验不限,15-30K,客户端开发|Windows|chromium|cef|浏览器内核,C++
杭州·滨江区·长河,华为技术有限公司,计算机软件,本科,3-5年,20-40K·15薪,C++|Java|容器技术|计算机软件|多线程|Socket技术|消息队列|Linux,C++
上海·徐汇区·漕河泾,上海酷软网络,游戏,本科,3-5年,10-20K,后端开发|C/C++,C++
杭州·上城区·南星,通号万全,计算机软件,本科,3-5年,8-16K,C/C++,C++
南京,国电南思,计算机软件,本科,1-3年,12-16K,C++|PostgreSQL|Linux开发/部署经验,c++
北京·海淀区·西北旺,腾讯,互联网,本科,3-5年,25-50K,C/C++|Linux|系统架构,C++
上海·浦东新区·花木,赛善新能源,智能硬件,本科,3-5年,10-15K,C/C++|移动开发|图像识别,C++
深圳·龙岗区·丹竹头,路码智能,物流/仓储,大专,1-3年,10-15K·13薪,计算机软件|C++|图形图像处理|视觉图像算法|物联网|C#,C++
北京,工信博达,智能硬件,本科,1-3年,10-15K,C/C++,C++
广州·白云区·黄边,广州民航,计算机服务,本科,1-3年,6-8K,飞行程序，软硬件维护,C++
杭州·西湖区·翠苑,数字视觉产品开发,电子/硬件开发,本科,经验不限,5-9K,C++|C语言|Qt项目开发经验|Linux开发/部署经验|英语读写能力良好,C++
北京·大兴区·亦庄,智之科技,计算机软件,本科,3-5年,12-22K,Qt项目开发经验|C++|QT|Linux|算法基础|VC++|消息队列|计算机相关专业|后端开发|高级软件工程师|数据结构,C++
北京·朝阳区·来广营,指掌易,互联网,本科,5-10年,25-40K,Linux|驱动开发,C++
西安·雁塔区·高新软件园,华为,计算机软件,本科,1年以内,14-28K,C/C++|GO,C++
北京·东城区·东直门,VisionVera,通信/网络设备,本科,3-5年,15-25K,嵌入式技术,C++
杭州·余杭区·未来科技城,申昊科技,通信/网络设备,本科,3-5年,20-40K,C++|Linux开发/部署经验,c++
临沂,万德自动化,机械设备/机电/重工,本科,经验不限,10-11K,C/C++,C++
上海·浦东新区·曹路,上海有大,移动互联网,本科,1-3年,11-20K,C++|Java|Oracle,c++
北京·海淀区·清河,杰思安全,计算机软件,大专,5-10年,15-20K,Windows|c++,C++
北京·丰台区·总部基地,启桃,计算机软件,大专,3-5年,15-25K,C++|Qt项目开发经验,C++
合肥·蜀山区·高新区,六线速云,互联网,本科,1-3年,12-15K,QT|VC++,C++
深圳·龙岗区·坂田,华为,计算机软件,本科,经验不限,15-30K,Python|Shell|Redis|NoSQL|MongoDB,C++
北京·海淀区·五道口,大唐移动,通信/网络设备,本科,1-3年,15-20K·15薪,Linux|Unix|后端开发|Socket技术|嵌入式技术|服务器端开发|客户端开发|中级软件工程师,C++
北京·房山区·城关,海为科技,电子/半导体/集成电路,本科,3-5年,10-15K,高级软件工程师|Python|嵌入式技术|Socket技术|Linux|Skynet|NoSQL,C++
天津·河北区·狮子林大街,千方云可视,计算机软件,本科,3-5年,10-15K,游戏引擎|图形图像处理|游戏开发|客户端开发|QT|OpenGL,C++
杭州·桐庐县·桐君,嘿动科技,计算机软件,本科,5-10年,5-6K,嵌入式技术,C++
杭州·滨江区·西兴,光传,仪器仪表/工业自动化,本科,3-5年,15-30K,C++|QT|数据库开发经验|VC++|MFC|Windows|网络协议|中级软件工程师|上位机开发经验|MySQL|服务器端开发|后端开发|高级软件工程师,C++
无锡·新吴区·旺庄,元空间,游戏,本科,1-3年,15-20K,C++|QT|Linux开发/部署经验|桌面开发经验,c++
青岛·市北区·凯德广场,中正铭远,智能硬件,大专,1-3年,8-10K,C#|C++|C语言|音视频编解码|流媒体技术,C++
北京·海淀区·西二旗,鼎业宇航,计算机软件,大专,1-3年,12-20K,C++|QT,C++
西安·雁塔区·枫林绿洲,西安经天,计算机软件,本科,1-3年,6-10K,计算机软件|C++|Java|Windows|软件工程师|C#,C++
深圳,诚奇资产,基金,本科,1-3年,10-20K,后端开发|Linux|C/C++,C++
北京·海淀区·知春路,千西禾,移动互联网,本科,3-5年,15-25K·13薪,Linux|后端开发|客户端开发|中级软件工程师,C++
苏州·姑苏区·盘门,创邦伟达,智能硬件,大专,1年以内,5-6K,Java|C#|人脸识别,C++
南京·玄武区·红山,华如防务,智能硬件,本科,3-5年,15-20K·13薪,QT|分布式技术|Socket技术|Linux|文件管理系统|图形图像处理|客户端开发|软件工程师,C++
