位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
北京·朝阳区·三元桥,北京奥海科技有限公司,计算机软件,本科,5-10年,20-30K,Oracle|微服务架构|SpringBoot|SpringCloud|MySQL|高级软件工程师|Maven|基金、金融、保险,java 高级
西安·雁塔区,丰瑞讯腾,互联网,本科,3-5年,8-11K,企业软件|PHP|Java,JAVA PHP
东莞·大朗镇·松佛路,茅飞科技,在线教育,学历不限,经验不限,12-13K,微服务架构|数据结构|图形图像处理|Spring,Java 工程师
深圳·龙华区·民治,仝安技术,移动互联网,本科,5-10年,9-18K,HTML5|通信|Javascript,Java 工程师
南京·江宁区·开发区,华成峰科技,计算机软件,本科,3-5年,12-18K,后端工程师|Java|MySQL|Redis|计算机/软件工程相关经验|Java开发经验|分布式系统开发经验|idea,java 开发
杭州·西湖区·古荡,有赞,互联网,本科,3-5年,25-45K,Java,java Architect
呼和浩特,博思软件,计算机软件,本科,3-5年,10-13K·13薪,计算机软件|Spring|SpringMVC|Oracle|后端开发|全栈开发|Linux|软件工程师,Java 工程师
武汉,荣浪,电力/热力/燃气/水利,12个月,5天/周,150-300元/天,Java,java 实习生
深圳·坪山区·竹坑,华科志远,互联网,学历不限,1-3年,7-9K,SQL|Oracle,SQL Java
上海·闵行区·浦江,易娱网络,互联网,本科,5-10年,30-45K·13薪,Java|Spring|MySQL|团队管理经验|游戏后端经验|架构设计经验|不接受居家办公,Java 主程序
嘉兴·海宁市·海洲,环鑫科技,大数据,学历不限,3-5年,6-11K,Spring|后端开发|Redis|软件工程师,java 工程师
杭州·滨江区·西兴,浙江极氪智能科技,4S店/后市场,本科,3-5年,12-24K,Java|不接受居家办公|后端工程师|后端开发|计算机/软件工程相关经验,Java 高级研发
杭州·西湖区·西湖,蚂蚁集团,互联网,3个月,4天/周,400-410元/天,后端工程师|Java,java 后端开发
贵阳·花溪区·贵阳大学城,贵州云数联智,计算机软件,本科,3-5年,10-15K,服务器配置|架构师|Spring|NoSQL|MySQL|Redis|MongoDB,Java 项目经理
威海·环翠区·东发园林,传世般若,互联网,学历不限,经验不限,6-11K,Java|仓库,Java 开发工程师
杭州·滨江区·浦沿,君南科技,计算机软件,本科,3-5年,13-20K,微服务架构|容器技术|Spring|SpringBoot|Redis|MySQL|后端开发,JAVA 后端开发--主程
东莞·虎门镇·黄河时装城,新八连,计算机软件,大专,3-5年,8-13K,后端工程师|Java|Spring|JavaScript,Java 开发工程师
南京,叮东网络科技,移动互联网,本科,1-3年,5-8K,SQL|多线程|Spring|SpringMVC|SpringBoot|Oracle,Java 开发工程师
武汉·洪山区·鲁巷,武汉枫林云,移动互联网,本科,3-5年,6-12K,Java|数据库|Linux,java 开发工程师
苏州,北京易联达,计算机软件,本科,3-5年,14-17K,Java|Spring|SpringCloud|MySQL|不接受居家办公|微服务经验,Java 开发工程师
杭州·钱塘区·下沙,从融科技,移动互联网,大专,3-5年,15-25K·13薪,SQL|Python|分布式技术|服务器配置|Spring|Redis|NoSQL|MongoDB,JAVA 高级开发
南京·栖霞区·马群,江苏达科,通信/网络设备,本科,3-5年,14-18K·13薪,SQL|微服务架构|负载均衡技术|分布式技术|多线程|Hibernate|Struts|Oracle,Java 开发
温州,圣乔,计算机软件,本科,经验不限,3-7K·13薪,Java开发经验|Maven|GIT|NoSQL|肢体残疾|中大型项目架构设计经验|MySQL|Redis|MVC开发|Spring|Oracle|计算机/软件工程相关经验,Java 后端开发
青岛·李沧区·李沧商圈,青岛友腾信息技术,计算机软件,大专,3-5年,4-9K,分布式技术|MVC开发|Spring|Dubbo|SpringCloud|高级软件工程师|网络交换技术|网络编程,JAVA springboot后端开发
上海·闵行区·浦江,创度软件,计算机软件,本科,在校/应届,7-12K,数据结构|Spring|SpringBoot,JAVA 初级工程师
泉州·丰泽区·星光不夜城及周边,银丰新融,计算机软件,本科,5-10年,9-13K,Java|银行,java (银行驻场-出差）
合肥·蜀山区·井岗,恒宝天择,互联网,本科,5-10年,8-10K,Java|Spring|MyBatis|PostgreSQL|MySQL,Java 开发工程师
萍乡,优选时代,印刷/包装/造纸,学历不限,经验不限,8-13K,MVC开发|后端开发|Spring|Jenkins|NoSQL|MySQL|MongoDB,Java 工程师
杭州·余杭区·未来科技城,浙江天猫技术有限公司,电子商务,本科,3-5年,30-45K,Java|SQL,Java 技术专家
合肥·蜀山区·高新区,老乡鸡餐饮,生活服务（O2O）,本科,5-10年,12-22K·13薪,Java,java 架构师
合肥·蜀山区·三里庵,卫宁健康,计算机软件,本科,5-10年,9-14K,Java|JavaScript|HTML|CSS|Struts|MySQL|Oracle,Java 开发工程师
北京·大兴区·大兴经济开发区,游美华夏,旅游,本科,1-3年,12-18K,后端工程师|Java|Spring|MyBatis|Java开发经验|计算机/软件工程相关经验|分布式系统开发经验,Java 研发工程师
太原·晋源区·红灯笼体育场,远大纵横,其他专业服务,本科,3-5年,6-10K,分布式技术|微服务架构|Spring|Redis|NoSQL|PostgreSQL|网络安全|信息化,java 开发工程师
广州·荔湾区·西关,广州普存信息科技...,计算机软件,大专,3-5年,10-15K,多线程|Spring|NoSQL|Linux|后端开发|软件工程师|SpringBoot,JAVA 开发工程师
上海·浦东新区·张江,汉器,企业服务,大专,3-5年,12-24K·13薪,分布式技术|服务器配置|微服务架构|Spring|SpringMVC|SpringCloud|MySQL|全栈开发,Java 高级工程师
广州·番禺区·市桥,梦山科技,互联网,大专,5-10年,20-30K,,Java 高级开发工程师
成都·武侯区·银泰城,考拉悠然科技,互联网,大专,3-5年,14-22K·13薪,中级软件工程师|高级软件工程师|后端开发|SpringBoot|SpringCloud|MySQL,JAVA 中高级开发
丹东·振兴区·滨江,育小帮,计算机服务,学历不限,经验不限,5-10K,Java开发经验|Java|MySQL|MyBatis|后端工程师,JAVA 高级工程师
海口·龙华区·上邦百汇城,软通动力,计算机软件,本科,3-5年,14-28K,分布式技术|数据结构|Spring|Dubbo|SpringBoot|Redis|MySQL|架构师,java 开发工程师
上海·浦东新区·金桥,上海银帆信息科技,计算机软件,本科,3-5年,14-25K·14薪,SQL|MVC开发|服务器配置|网络协议|网络编程|服务器端开发|SpringBoot|Spring,JAVA 开发工程师
昆明·西山区·大商汇,维者科技,企业服务,本科,3-5年,6-11K,Java|SQL|Spring|后端开发|微服务架构,Java 开发工程师
西安·雁塔区·高新软件园,北交数通,计算机软件,本科,3-5年,10-15K·13薪,HTML|CSS|分布式技术|多线程|服务器配置|网络协议|MVC开发|容器技术,Java 研发工程师
南昌·红谷滩区·前湖大学城,长天云端,互联网,本科,3-5年,6-10K·13薪,SpringCloud|CSS|后端开发|SpringBoot|Spring,java 开发工程师
深圳·南山区·前海,bimernet,计算机软件,本科,1-3年,10-15K,数据库|Spring boot|Java,高级 Java 研发
杭州·滨江区·长河,阿里巴巴集团,互联网,本科,经验不限,35-40K,Java,java 技术专家
昆明,天质弘耕,农/林/牧/渔,本科,3-5年,8-9K,Java,java 软件开发
杭州·西湖区·西溪,菜鸟网络,互联网,本科,经验不限,25-45K·16薪,Java,JAVA 高级开发/架构师
烟台·莱山区·迎春大街,山东易缇姆软件科技,计算机软件,本科,3-5年,12-24K,后端工程师|Java|计算机/软件工程相关经验|Java开发经验,Java  12-20k 乌鲁木齐驻场
深圳·龙岗区·坂田,华为,计算机软件,本科,1-3年,20-40K,分布式技术|Dubbo|Python|软件工程师|后端开发|WEB开发|Linux,Java Python开发工程师
西安·雁塔区·高新软件园,格尔软件,信息安全,本科,1-3年,9-14K,微服务架构|Spring|Maven|Netty,JAVA 开发工程师
济宁,联储云计算有限公司,计算机软件,大专,1-3年,4-7K,Java|JavaScript|HTML|Spring|Hibernate|JQuery|Struts|分布式技术,Java 高级开发工程师
上海·长宁区·仙霞,拼多多,互联网,本科,1-3年,30-60K·16薪,Java|Elasticsearch|MySQL|Kafka|Redis|Dubbo|HBase,Java 研发工程师（跨境电商）
南京·秦淮区·光华路,华设,建筑设计,本科,5-10年,18-30K,后端工程师|Java|Spring|MyBatis|C#|建设管理系统|智慧工地系统,Java 高级开发工程师
武汉·江夏区·光谷,卓钢链,电子商务,本科,3-5年,13-20K,SQL|消息队列|Spring|Redis|NoSQL|MySQL|Java|Cloud,Java 后端研发工程师
深圳·龙岗区·坂田,华为,计算机软件,本科,经验不限,15-30K·16薪,分布式技术|服务器配置|微服务架构|容器技术|Spring|Oracle|SpringCloud|后端开发,Java 开发工程师
长沙·开福区·四方坪,北京计算机研究所,其他行业,硕士,经验不限,8-12K,Java|HTML|CSS|JavaScript|Spring|SQL,Java 后端开发工程师
长沙·开福区·青竹湖,老百姓大药房,医疗健康,本科,5-10年,20-40K·13薪,后端工程师|Java|电商平台|新零售,资深 Java 开发工程师
日照·东港区·大润发,米捷软件,移动互联网,大专,经验不限,4-9K,Java|JavaScript|HTML|软件开发,Java 初级开发工程师
上海·黄浦区·淮海路,维万广告,广告营销,本科,1-3年,15-25K,Java|Python|MYSQL,高级 Java 后端工程师
