位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
无锡·新吴区·鸿山,卓智星,社交网络,大专,经验不限,30-35元/时,Python|MySQL|PostgreSQL,"Vue, Python"
郑州·中原区·五龙口,讯鸟科技,计算机软件,本科,3-5年,6-11K·13薪,数据开发|Python|计算机相关专业,Python 工程师
深圳·南山区·南山中心,网企科技,培训/辅导机构,本科,在校/应届,8-12K,C++|Java|Python,编程 c++ python
上海·浦东新区·金桥,华为,计算机软件,本科,经验不限,16-20K·15薪,Python|C++|Numpy|Pandas|Docker|MySQL|Oracle|团队管理经验,python 快乐体验工程师
淄博·张店区·山东理工大学,里丰科技,电力/热力/燃气/水利,本科,经验不限,3-5K,后端|Python|计算机相关专业,Python C++开发
北京·海淀区·中关村,MISSHOP,计算机软件,本科,1-3年,8-13K,python,python 工程师
大连·甘井子区·万达,光古科技,计算机软件,硕士,1-3年,10-11K,Python|C++,python 图像信号算法工程师
株洲·天元区·神农城,株洲昕芒,培训/辅导机构,大专,经验不限,5-8K,人工智能|动画动漫|机器人,python 教师
合肥·蜀山区·太湖路,合肥人工智能与大...,其他行业,4个月,4天/周,100-150元/天,Python|Linux开发/部署经验,Python 开发实习
上海·徐汇区·徐家汇,麦开信息,互联网,本科,1-3年,8-12K,Python|Redis|MySQL|网络爬虫技术|搜索引擎技术|Django|MongoDB,Python WEB开发
北京·海淀区·五道口,Veritas,企业服务,本科,1-3年,15-22K,Java|Python|GO,Python 、Java、Go 中级工程师
深圳·福田区·会展中心,凝基(上海),计算机硬件,本科,1-3年,20-30K,Python|金融,Python 全栈
北京·海淀区·西北旺,雾旗科技,信息安全,本科,经验不限,15-25K,Python|Flask|Django|MySQL|Linux开发/部署经验,python 中级研发
上海·浦东新区·张江,TacFinTech,计算机软件,本科,3-5年,15-23K·14薪,Python|Pandas|Numpy|Flask|MySQL|量化交易开发经验,Python 开发工程师
北京·海淀区·双安,蔚时科技,计算机服务,本科,经验不限,15-20K,Python|Flask|PyTorch|MySQL,python 仿真算法工程师
