位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·龙华区·观澜,捷顺科技,互联网,本科,5-10年,20-30K·15薪,安全架构搭建经验|安全产品/平台开发经验|SDL经验|亿赛通|源代码管理|文档安全,信息安全经理
上海·徐汇区·田林,龙旗科技,通信/网络设备,本科,5-10年,12-18K,信息安全|信息安全认证|质量管理|产品开发|ODM行业|体系建设|项目信息安全方案|风险管控,信息安全工程师
深圳·福田区·岗厦,金地集团,房地产开发经营,本科,5-10年,30-45K·16薪,IT审计经验|CISA|CISM|CISSP/CISP,信息安全专家
深圳·南山区·科技园,青藤云安全,信息安全,本科,5-10年,18-35K·15薪,解决方案|云安全|信息安全|架构师|云原生安全|售前顾问,信息安全顾问
北京·海淀区·学院路,北京共绩科技,计算机软件,本科,3-5年,30-35K,安全运维和保障,信息安全专员
北京·东城区·东四,星星充电科技有限公司,新能源,6个月,5天/周,150-180元/天,安全体系架构和研发|安全运维和保障,信息安全实习生
南京·雨花台区·安德门,SHEIN,电子商务,本科,3-5年,20-35K·14薪,计算机/信息安全相关专业|数据安全管理经验|熟悉ISO27001标准|CISA,高级信息安全工程师
银川·兴庆区·中国银川国际商贸城,等保,计算机软件,本科,1-3年,5-10K,信息安全|网络安全|机房运维,信息安全测评工程师
深圳·坪山区·坪山,比亚迪汽车工业,汽车研发/制造,本科,5-10年,50-80K,信息安全|数据安全|漏洞挖掘|渗透测试|Linux|Unix,主任信息安全工程师
北京·石景山区·苹果园,赛宝认证,检测/认证/知识产权,本科,3-5年,12-18K,信息安全|网络安全|数据安全,信息安全技术经理
济南·历下区·齐鲁软件园,山东润云,通信/网络设备,本科,1-3年,8-12K·13薪,网络/通信设备|计算机/通信相关专业|信息系统项目管理师|PMP|CISSP/CISP|网络安全|工控安全|数据安全,信息安全售后工程师
杭州·拱墅区·蓝钻天城购物中心,观安信息,信息安全,本科,3-5年,15-25K·14薪,销售支持/交付管理|PMP|信息系统项目管理师|软件研发经验|中大型软件项目管理经验|实施交付经验,软件项目经理（电网数据安全类）
潍坊·奎文区·高新区,歌尔,智能硬件,本科,3-5年,11-15K,安全运维和保障,信息安全岗
北京·海淀区·五道口,PCSA联盟,信息安全,本科,10年以上,30-50K,计算机/信息安全相关专业|安全架构搭建经验|安全运维经验,网络信息安全总监
宁波,宁波泰睿思微电子,半导体/芯片,大专,5-10年,8-13K·13薪,PMP|系统集成项目管理工程师|信息系统项目管理师,网络、信息安全工程师
南昌·西湖区·朝阳洲,华信创江西,企业服务,本科,1-3年,15-20K,ITSS|ISO20000|国家注册审核员,华信创江西招聘体系审核员
