位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
杭州·滨江区·长河,君南科技,计算机软件,大专,1-3年,8-12K,vue.js|DIV+CSS|typescript,WEB 前端
澄迈,决胜科技,文化艺术/娱乐,大专,1-3年,6-10K,前端开发|HTML|CSS|JavaScript|CSS3|HTML5|JQuery|Android,HTML5 前端
深圳·南山区·前海,AfterShip,互联网,本科,3-5年,20-40K·14薪,JavaScript|React|Node.js,Web 前端
深圳·南山区·科技园,信链,互联网,本科,3-5年,20-30K,前端开发|HTML|JavaScript|TypeScript|ES6|区块链|React|Vue,前端 (区块链方向)
北京·海淀区·上地,北京纽曼腾飞,电子商务,大专,3-5年,10-15K,Python,Web 前端 Electron 开发
西安·雁塔区·高新软件园,华为,计算机软件,本科,经验不限,20-40K·16薪,JavaScript|HTML5|Vue|计算机/软件工程相关专业|前端开发经验|技术博客/开源项目有所贡献,前端 WEB开发工程师
湖州,弘顺智能科技,其他制造业,本科,1-3年,6-11K,前端开发经验|计算机/软件工程相关专业,前端vue
杭州·余杭区·五常,阿里巴巴集团,互联网,2个月,4天/周,150-200元/天,JavaScript|React|Java|计算机/软件工程相关专业|前端开发经验|技术博客/开源项目有所贡献,阿里 淘天 前端 客户端 服务端 测试 实习
保定·竞秀区·电谷,比特,计算机软件,大专,1-3年,4-5K,Vue|前端开发,vue前端
潍坊·潍城区·青年路,安妞尔,互联网,学历不限,1年以内,5-6K,CSS|vue.js|javascript,前端vue
海口·龙华区·滨海大道,联合优住信息有限公司,计算机软件,大专,1-3年,5-8K,Vue,VUE前端
杭州·滨江区·浦沿,天启年,电子商务,本科,5-10年,15-22K,前端开发|HTML|React,前端（VUE）
成都,甜筒互娱,游戏,本科,1-3年,4-8K,JavaScript|Vue|Webpack,VUE前端开发
武汉·江夏区·光谷东,西安华为,通信/网络设备,本科,经验不限,20-30K·14薪,JavaScript|HTML5|Vue,前端开发vue
沈阳·铁西区·北一路万达,稻作网络,游戏,本科,5-10年,8-12K,Vue|前端开发经验|计算机/软件工程相关专业,VUE前端开发
临沂,来客,计算机软件,大专,1-3年,5-8K,前端开发|Vue|WEB开发|CSS|Web端|PC端|小程序,Vue前端开发
烟台·莱山区·科技大道,山海科技,计算机软件,大专,1-3年,5-8K,HTML5|CSS|Vue|计算机/软件工程相关专业|前端开发经验|不接受居家办公,vue前端开发
南宁·青秀区·琅西,南宁太初,计算机软件,本科,经验不限,9-12K·14薪,CSS|Vue|HTML5|计算机/软件工程相关专业|前端开发经验,vue前端工程师
烟台·芝罘区·黄务,烟台巨匠网络,计算机软件,3个月,6天/周,150-200元/天,HTML5|CSS|Vue,vue前端工程师
北京·朝阳区·管庄,深海云,计算机软件,本科,3-5年,12-18K,前端开发|HTML|CSS3|HTML5|JQuery|Web端|移动端|Vue,VUE前端工程师
武汉·江夏区·光谷,小狮科技,计算机软件,本科,1-3年,6-11K,JavaScript|HTML|CSS|ES6|前端开发|JQuery,VUE前端开发
广州·天河区·天河北,奇利匙,计算机软件,大专,3-5年,13-16K·13薪,Vue|HTML5|计算机/软件工程相关专业|前端开发经验|hybrid|移动端|小程序,前端开发（VUE）
深圳·南山区·科技园,好游科技,移动互联网,本科,3-5年,20-25元/时,Vue|JavaScript|CSS|前端开发经验,vue前端工程师
北京·通州区·土桥,科苑星空,计算机软件,本科,3-5年,10-15K,前端开发|JavaScript|移动端|CSS|Vue|Web端|AJAX|MySQL,vue前端工程师
北京·大兴区·黄村,北京并捷,计算机软件,本科,3-5年,10-15K,前端开发,vue前端工程师
金华,软件开发,计算机软件,学历不限,1-3年,6-11K,前端开发|HTML5|ES6|JavaScript|CSS3,vue前端工程师
深圳·南山区·海岸城,微媒动态科技,智能硬件,本科,3-5年,10-15K·13薪,前端开发|HTML|Vue.js|Web端|GIT|SVN,vue前端工程师
武汉·江夏区·光谷,联云信息,计算机软件,大专,1-3年,10-11K,Vue|Node.js|计算机/软件工程相关专业,vue前端工程师
