位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
武汉·洪山区·光谷,锐泛,互联网,本科,3-5年,8-13K,接受居家办公|Java|Spring|MyBatis|Nginx|MySQL|Redis|Java|Hibernate|NoSQL|Redis|MongoDB|Spring|Oracle,后端 java ，spring
北京·昌平区·天通苑,时空感应科技,社交网络,本科,3-5年,10-20K,即时通讯|IM,Java 后端 开发
苏州·苏州工业园区·独墅湖,微软中国,计算机软件,本科,经验不限,20-40K,移动端|Java|JavaScript|C语言|后端开发|全栈开发|软件工程师|数据库开发,软件工程师-(前端 后端 全栈）
大庆·萨尔图区·新玛特,子墨科技,计算机软件,本科,3-5年,6-10K,不接受居家办公|Java|SpringCloud|Nginx|Docker|Redis|Oracle|SQL Server|团队管理经验|架构设计经验|微服务经验,后端
西安·雁塔区·高新路,恒隆电气,智能硬件,本科,1-3年,8-13K·13薪,Java|Python|JavaScript,后端
广州·增城区·荔城,名轩装饰设计有限公司,装修装饰,大专,1-3年,5-10K,Java|后端开发|数据库,后端
梅州·五华县·华兴南路,鸿威软件,计算机软件,学历不限,经验不限,5-8K,后端开发|Java|JavaScript|SQL|HTML|全栈开发,后端
杭州,北京字节跳动,互联网,本科,5-10年,35-55K,Java|Golang|PHP|Spring|MySQL|不接受居家办公,后端
绍兴·诸暨市·江东路,浙江之安科技,计算机软件,本科,1-3年,7-12K,Java|SQL|C#|Spring|Hadoop|Spark|SSH|分布式技术,后端
苏州·虎丘区·高新区,苏州众磊,计算机软件,本科,3-5年,8-13K,SpringBoot|MySQL,后端
南京·江宁区·东山,南京学智优教育科技,培训/辅导机构,本科,在校/应届,15-16K,Java|C|Spring|SpringCloud|MongoDB,后端
长沙·岳麓区·梅溪湖,车姆数字科技,互联网,大专,3-5年,6-8K,微服务架构|负载均衡技术|中级软件工程师|后端开发|SpringCloud|IDEA|GIT|MySQL,后端
海口·龙华区·上邦百汇城,海南智小二,通信/网络设备,学历不限,1-3年,10-15K,后端开发,后端
