位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·宝安区·沙井,天好,电子商务,本科,3-5年,12-16K,自动化|电子计算机相关专业,嵌入式 工程师
深圳·光明区·光明,中科龙智,计算机软件,大专,1-3年,8-13K·15薪,C|Python|RTOS,嵌入式 MCU软件工程师
武汉·江夏区·光谷东,扬旭电子武汉分公司,通信/网络设备,本科,3-5年,16-26K·14薪,通信相关专业|C|嵌入式/单片机开发经验|计算机相关专业|嵌入式技术,嵌入式 Linux 软件研发工程师
杭州·余杭区·五常,造梦者新风机,其他行业,本科,3-5年,20-30K·13薪,嵌入式技术,嵌入式 研发工程师 海创园
成都·武侯区·保利花园,博高信息,电力/热力/燃气/水利,本科,3-5年,10-15K·13薪,嵌入式技术|单片机开发|MCU|驱动开发|C语言|RTOS|Keil,嵌入式
郑州·金水区·龙子湖校区,苏州云疆智能科技,智能硬件,本科,3-5年,7-8K,C|C++|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式
宁波·海曙区·火车站,中控技术,计算机软件,本科,3-5年,10-14K·14薪,C|ARM开发|通信相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式
深圳·宝安区·西乡,春晖,智能硬件,本科,1-3年,12-24K,RTOS|C++|C|mtk|嵌入式/单片机开发经验|Makefile|单片机开发|嵌入式软件开发|电气电气/自动化相关专业|计算机相关专业|ARM开发|驱动开发,嵌入式
杭州·余杭区·未来科技城,舜宇智能科技,计算机软件,本科,3-5年,10-11K,嵌入式技术|ARM开发|C语言|Linux,嵌入式
济宁,金叶仪器,物联网,大专,3-5年,8-13K,C语言|音视频编解码|嵌入式技术|嵌入式软件开发|PCB设计|ARM开发|器件选型,嵌入式
深圳·南山区·科技园,维拍物联,消费电子,本科,5-10年,15-25K·13薪,嵌入式技术|嵌入式软件开发|C++|ARM开发|Linux,嵌入式
重庆·渝北区·大竹林,华为技术有限公司,计算机软件,本科,经验不限,14-28K·15薪,C|C++|计算机相关专业|通信相关专业|嵌入式/单片机开发经验,嵌入式
金华·金东区·金义大都市,芯脉集团、食亿售,电子/半导体/集成电路,学历不限,3-5年,13-26K,嵌入式技术|Linux|单片机开发|驱动开发|ARM开发|C语言|C++|流媒体技术,嵌入式
深圳·南山区·科技园,智旭科技有限公司,智能硬件,本科,经验不限,7-9K·13薪,C|ARM开发|计算机相关专业|通信相关专业|嵌入式/单片机开发经验,嵌入式
北京·海淀区·西北旺,华为,计算机软件,本科,在校/应届,18-25K·14薪,嵌入式软件开发|驱动开发|Linux|单片机开发|单板开发|ARM开发|C语言|芯片开发,嵌入式
杭州·滨江区·西兴,德施曼科技,智能硬件,本科,3-5年,15-20K·13薪,计算机相关专业|通信相关专业|嵌入式/单片机开发经验,嵌入式
深圳·南山区·科技园,深圳市爱云信息科...,计算机软件,大专,3-5年,8-13K,嵌入式软件开发|ARM开发|嵌入式技术|C++|Linux,嵌入式
