位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·雨花区·红星,齐鲁金属,进出口贸易,大专,经验不限,10-15K,掌握小语种|西班牙语|年终奖|每周双休,西语外贸业务员
长沙·芙蓉区·东屯渡,元拓建材集团,进出口贸易,大专,1-3年,6-10K,全职|坐班|商务谈判|国际贸易|专四证书|西班牙语专业|企业内部翻译职位,西语翻译/外贸
长沙·岳麓区·麓谷,恰学教育科技有限公司,培训/辅导机构,本科,经验不限,6-11K,全职|坐班|专八证书|DELE/SIELE C1|DELE/SIELE B2|西班牙语专业,西语老师
长沙·岳麓区·麓谷,中联环境,机械设备/机电/重工,本科,1-3年,15-25K,西班牙语,国际营销代表（西语）
长沙·芙蓉区·韭菜园,凯特语言中心,培训/辅导机构,本科,经验不限,7-12K,全职兼职均可,德语/西语/粤语
长沙·宁乡市·金洲大道,楚天科技股份有限公司,医疗健康,本科,经验不限,15-30K,企业（To B）|医疗/大健康|进出口贸易|先进制造|面销/陌拜|会展销售|大客户销售|西班牙语|制药装备,西语销售经理
长沙,米丘国贸,进出口贸易,大专,经验不限,10-15K,年终奖|西班牙语|国际贸易专业|掌握小语种|有外贸工作经验|国外进修,西语业务员/西语管培生
长沙,湖南艾臣科技集团...,进出口贸易,大专,3-5年,5-10K,销售经验|客户谈判经验,西语/俄语/越南语
长沙·雨花区·香樟路,畅读,社交网络与媒体,本科,经验不限,6-11K·13薪,全职|坐班|文学出版物|文学|专八证书|专四证书|西班牙语专业|企业内部翻译职位|译文校对,西语翻译（base福建福州）
长沙·岳麓区·涉外经济学院,壹贰叁肆,互联网,大专,经验不限,3-7K,兼职|无需坐班|专业四级|法语专业|法语国家工作经历|法语国家留学经历,兼职法语/西语老师
长沙·长沙县·泉塘,捷夫,通用设备,大专,1年以内,6-10K,英语可用于工作|掌握小语种|有外贸工作经验|西班牙语|俄语,外贸销售经理 英语2名、西语1名、俄语1名
长沙·岳麓区·望城坡,雅瑞思,翻译,本科,1-3年,8000-12000元/月,兼职|无需坐班|临床报告|期刊论文|法律文件|医学|金融|能源|CATTI 证书|DELE/SIELE C2|专八证书|熟练使用 TRADOS|西班牙语专业|专业翻译公司,西班牙语翻译
长沙·岳麓区·麓谷,言趣教育,在线教育,大专,经验不限,4-8K,全职|坐班|DELE/SIELE B2|西班牙语专业|西班牙语老师,西班牙语老师
长沙·岳麓区·银盆岭,新航道国际教育集团,培训/辅导机构,硕士,1-3年,6-10K,兼职|无需坐班|专八证书|西班牙语专业|小语种兼职,兼职西班牙语
长沙·岳麓区·望城坡,申德钢铁,进出口贸易,大专,经验不限,5-10K,建筑材料|英语可用于工作|掌握小语种|包住宿|每周双休|西班牙语,西班牙语业务员
长沙·天心区·黄土岭,利来达钢铁,进出口贸易,大专,经验不限,4-9K,CET4|市场开发|报价核算,西班牙语销售
长沙·天心区·井湾子,语巢教育,培训/辅导机构,本科,1-3年,6-10K,全职兼职均可,西班牙语老师
